n,x0_index,method,h,iterations,grad_norm,converged,time_sec,conv_rate_est,conv_type,history
2,3,MN (FD),0.0001,7,1.5437726761504243e-08,True,0.004421333782374859,1.8168730521121048,Quadratic,"[75.04274295766365, 58.57014775500511, 16.305636937860946, 4.090587503079475, 0.7476491362095278, 0.052976476185135804, 0.00034815839181199333, 1.5437726761504243e-08]"
2,3,TN (FD),0.0001,6,2.2657063290987606e-10,True,0.00600929232314229,1.8601652589529287,Quadratic,"[75.04274295766365, 18.923664462302153, 3.1388295861317923, 0.46493829300882666, 0.01972811384750675, 4.3818374480857964e-05, 2.2657063290987606e-10]"
2,3,MN (FD),1e-08,7,1.543597304795699e-08,True,0.0056496248580515385,1.8168804601941941,Quadratic,"[75.04274295766365, 58.5701473740416, 16.305636486416617, 4.090587413749205, 0.7476491087257597, 0.05297646877295866, 0.0003481578177094767, 1.543597304795699e-08]"
2,3,TN (FD),1e-08,6,2.2606566376876805e-10,True,0.004088541958481073,1.860286830461808,Quadratic,"[75.04274295766365, 18.923663959858626, 3.1388295331368004, 0.4649382899387237, 0.0197281116922835, 4.381825331008021e-05, 2.2606566376876805e-10]"
2,3,MN (FD),1e-12,7,7.09363666435639e-09,True,0.003632249776273966,1.8686616065517274,Quadratic,"[75.04274295766365, 58.628664967432506, 16.323255947025295, 4.095750814435906, 0.7488056327702166, 0.0531236666332163, 0.00034862555149611085, 7.09363666435639e-09]"
2,3,TN (FD),1e-12,6,1.922615807007759e-09,True,0.003790500108152628,1.7434759590821836,Superlinear,"[75.04274295766365, 18.92933902602917, 3.1398078055587346, 0.465009562352202, 0.01972315587663745, 4.3860897269499196e-05, 1.922615807007759e-09]"
2,4,MN (Exact),,6,1.0492319560851374e-07,True,0.001402541995048523,1.7838393935735921,Superlinear,"[72.45885067248365, 20.304458260763838, 5.197893483125848, 1.0151360622819066, 0.08763934333811868, 0.0009164766222180149, 1.0492319560851374e-07]"
2,4,TN (Exact),,7,7.048823178978926e-10,True,0.0024300003424286842,1.8457897910828753,Quadratic,"[72.45885067248365, 24.816316544278806, 8.202947047187473, 3.5847312193758407, 0.5536664805787129, 0.0265755775758076, 7.78430355129661e-05, 7.048823178978926e-10]"
2,4,MN (FD),0.0001,6,1.0493023691212052e-07,True,0.0026661669835448265,1.7838345658896937,Superlinear,"[72.45885067248365, 20.30445828937682, 5.197893510033707, 1.0151360808836603, 0.0876393511063994, 0.0009164774074134368, 1.0493023691212052e-07]"
2,4,TN (FD),0.0001,7,7.054260493495199e-10,True,0.004181833006441593,1.845745890092397,Quadratic,"[72.45885067248365, 24.816316562665843, 8.202947057996155, 3.584731216658523, 0.5536664891193193, 0.02657558123089285, 7.784323267936539e-05, 7.054260493495199e-10]"
