n,x0_index,method,h,iterations,grad_norm,converged,time_sec,conv_rate_est,conv_type,history
2,4,TN (FD),1e-12,3,8.204429154503602e-09,True,0.0005768747068941593,2.3992872056996424,Quadratic,"[2.231661792897841, 0.27480980744211736, 0.001360038554332087, 8.204429154503602e-09]"
2,5,MN (Exact),,4,1.3071454408022522e-10,True,0.0008422499522566795,1.0634682418982844,Linear,"[0.8948608063153494, 2.229708232201832, 0.2658953952576942, 0.0012516079678168827, 1.3071454408022522e-10]"
2,5,TN (Exact),,6,1.7040024732363294e-14,True,0.000978332944214344,3.6854798383596337,Quadratic,"[0.8948608063153494, 2.759944637513855, 2.129584511031232, 1.3207711914193005, 0.1285301785173903, 7.590038948510008e-05, 1.7040024732363294e-14]"
2,5,MN (FD),0.0001,4,1.3280082296017693e-10,True,0.0008628331124782562,1.062483293066348,Linear,"[0.8948608063153494, 2.229708232104733, 0.26589539454734173, 0.0012516084033475693, 1.3280082296017693e-10]"
2,5,TN (FD),0.0001,6,1.4060232758460982e-13,True,0.0010506249964237213,3.590860885681361,Quadratic,"[0.8948608063153494, 2.759944640310704, 2.1295845281590244, 1.3207718535374608, 0.12853032633386557, 7.590083865094364e-05, 1.4060232758460982e-13]"
2,5,MN (FD),1e-08,4,1.3253935988027507e-10,True,0.0009490000084042549,1.0626144772985644,Linear,"[0.8948608063153494, 2.2297082322115385, 0.26589860007045346, 0.001251605507986256, 1.3253935988027507e-10]"
2,5,TN (FD),1e-08,6,6.235568466807026e-12,True,0.001062250230461359,3.42082419575719,Quadratic,"[0.8948608063153494, 2.7599445962541576, 2.129584279983619, 1.3207656794921268, 0.1285288095063396, 7.588766216357763e-05, 6.235568466807026e-12]"
2,5,MN (FD),1e-12,7,3.5629297965300566e-06,True,0.002017583232372999,1.000067008045153,Linear,"[0.8948608063153494, 2.2297109618913753, 0.4270946424919657, 0.036328708194124607, 0.0036165194076485598, 0.0003598556899720995, 3.5806991887321615e-05, 3.5629297965300566e-06]"
2,5,TN (FD),1e-12,6,5.704203230139488e-07,True,0.001196540892124176,2.939432358076587,Quadratic,"[0.8948608063153494, 2.760207366953831, 2.131174116534638, 1.3660618891560612, 0.14153633629584275, 0.00033733922114854666, 5.704203230139488e-07]"
1000,0,MN (Exact),,5,2.401350347220962e-08,True,0.15078095812350512,2.0830376514004363,Quadratic,"[15384.119638066404, 9687.107284610935, 1163.0898390279644, 1.698844570344456, 0.007587632526585702, 2.401350347220962e-08]"
1000,0,TN (Exact),,19,1.1553322105189796e-06,True,0.0630326671525836,1.4443324988280875,Superlinear,"[15384.119638066404, 11149.647741158205, 5099.348002832896, 1216.2700646304675, 406.1344302343201, 152.31824718642372, 73.00034681306136, 33.36636274528942, 16.18727686562184, 8.225260224884268, 4.27911472212491, 2.101639052057845, 1.0462874744302717, 0.5153364248793909, 0.23531564670285612, 0.09379234215116802, 0.020270440147663653, 0.002401910288174378, 0.00011565346334911556, 1.1553322105189796e-06]"
1000,0,MN (FD),0.0001,5,2.394008254826566e-08,True,0.07831733394414186,2.083172681578017,Quadratic,"[15384.119638066404, 9687.107324871686, 1163.089875435185, 1.6987380859673211, 0.0075843642558386945, 2.394008254826566e-08]"
1000,0,TN (FD),0.0001,21,3.278589538943888e-08,True,0.07038029097020626,1.516208034804343,Superlinear,"[15384.119638066404, 11149.647771851602, 5099.348079736266, 1216.270075159931, 406.13442881357975, 152.31824835872948, 73.0003469990685, 33.36636256537831, 16.18727677138822, 8.512391226192282, 9.024470229594792, 4.422049882192816, 2.193179634844069, 1.0629421668026207, 0.467616343664852, 0.23169619017687107, 0.11103746901572134, 0.036622228307038776, 0.006911450481308677, 0.0004902005372591756, 1.081478977957715e-05, 3.278589538943888e-08]"
1000,0,MN (FD),1e-08,5,5.450891355304968e-07,True,0.05746583268046379,1.889434095421145,Quadratic,"[15384.119638066404, 9687.107372507127, 1163.0898134457157, 1.69712898128536, 0.007496272153138534, 5.450891355304968e-07]"
1000,0,TN (FD),1e-08,19,2.573231220838567e-06,True,0.07341841561719775,1.5096862301010514,Superlinear,"[15384.119638066404, 11149.64779797224, 5099.348063912073, 1216.2700701606682, 406.1344289418068, 152.31824794490336, 73.00034746654669, 33.36636303876224, 16.18727676218751, 8.260705061140612, 4.01076176732928, 1.8559772912924992, 0.9169290911759901, 0.40949452311248496, 0.20455028912952686, 0.08660767231887685, 0.024077246763463653, 0.0036795256135300435, 0.00021000219067230432, 2.573231220838567e-06]"
